raw score,,,,,,,,,,,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,,mean,std
10.7,18.6,8.6,-6.77778,31.5,-17,-1.33333,4.8,-0.666667,-22,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
18.3,-17.3333,17.5,-1.33333,10.3,11.3,19.6,7.2,39.3,22.5,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
14.5,-8.88889,30.4,18.5,18.1,9.6,-16.7778,17.7,15.7,-5.55556,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
23.2,8.1,26.5,20.7,-13.5556,-8.88889,-9.55556,-14,18.9,0,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
-4.66667,15.6,-0.555556,15.3,21.4,-22.4444,-13,4.3,16.3,18.7,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
27.3,-36.2222,39.8,17.4,18.5,7.8,-100,17.7,-9,-0.888889,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
16.2,6.2,-6.11111,18.9,0,14,26.8,14.3,36.9,12.6,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
-36.3333,20.2,30.4,-5.55556,20.8,6.7,15.9,23.6,-3.77778,-10.2222,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
14.1,-1.55556,25.1,-3.22222,-1.33333,-100,10,7.6,-10.5556,9.2,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
23.7,19,-11.4444,0,10.7,7.1,-3.66667,14.4,13,21.2,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
22.1,4.6,11.5,38.3,-2.66667,25.7,24,19.8,-1,-0.222222,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
25.5,18.2,27.9,-3.88889,6.3,21,10.2,17.2,19.1,3.3,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
-8.66667,10.9,6.9,7.2,28.5,24.3,13.4,23.9,-16.1111,4.7,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,33.4,,37.58,5.737909027
-1.22222,19.2,27.5,14.8,4.2,0,10,-47.1111,15.1,34,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,34,,37.64,5.696876337
