raw score,,,,,,,,,,,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,,mean,std
-33.7778,-58.7778,-82.6667,-100,-100,-100,-95.8889,-59.5556,-100,3.4,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-29.1111,-81.3333,-100,-76.4444,-59.6667,-1.66667,-71.7778,-100,6.6,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-99.7778,-100,-70.2222,-31.6667,-98.7778,-100,-43.3333,22.9,12.9,-95.2222,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-100,-81.8889,-42.5556,-100,-78.1111,-13.2222,39.5,-100,-21.2222,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-30.2222,-4.33333,-99.1111,-100,-100,-51.7778,-100,-36.8889,-69.2222,-99.5556,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-100,-100,-100,-80.2222,23.8,-100,-37.1111,-100,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-78.8889,-16,-25.5556,-62,-61.5556,-95.1111,-20.5556,-100,-100,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
2.7,-99.8889,-12,-100,-100,-100,-83.3333,-6.77778,-100,-35.7778,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-35.7778,-78.2222,-100,-100,-100,-100,-33.6667,31.9,-100,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-23.6667,-24.6667,-42.5556,-100,-100,-80.1111,-14.2222,-100,19.2,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
